Time [s],Channel 0
7.398702500,1
7.408676333,0
7.408686208,1
7.418659958,0
7.418669833,1
7.428643750,0
7.428653625,1
7.438628167,0
7.438638000,1
7.448612250,0
7.448622125,1
7.458596458,0
7.458606333,1
7.468579833,0
7.468589708,1
7.478562250,0
7.478572125,1
7.488544792,0
7.488554667,1
7.498527875,0
7.498537708,1
7.508511375,0
7.508521250,1
7.518494875,0
7.518504750,1
7.528478208,0
7.528488083,1
7.538461333,0
7.538471208,1
7.548445417,0
7.548455292,1
7.558429542,0
7.558439417,1
7.568413458,0
7.568423292,1
7.578395875,0
7.578405750,1
7.588379958,0
7.588389833,1
7.598362292,0
7.598372167,1
7.608344875,0
7.608354708,1
7.618328958,0
7.618338833,1
7.628312583,0
7.628322458,1
7.638295833,0
7.638305667,1
7.648279208,0
7.648289083,1
7.658260833,0
7.658270708,1
7.668243125,0
7.668253000,1
7.678225917,0
7.678235792,1
7.688209167,0
7.688219042,1
7.698190333,0
7.698200167,1
7.708173167,0
7.708183042,1
7.718155708,0
7.718165583,1
7.728138667,0
7.728148542,1
7.738121208,0
7.738131083,1
7.748104042,0
7.748113917,1
7.758086583,0
7.758096458,1
7.768070000,0
7.768079875,1
7.778053292,0
7.778063167,1
7.788036625,0
7.788046500,1
7.798021083,0
7.798030958,1
7.808004667,0
7.808014542,1
7.817989375,0
7.817999250,1
7.827973958,0
7.827983833,1
7.837957792,0
7.837967667,1
7.847940875,0
7.847950708,1
7.857924792,0
7.857934667,1
7.867909125,0
7.867919000,1
7.877893000,0
7.877902875,1
7.887877042,0
7.887886917,1
7.897862125,0
7.897872000,1
7.907846917,0
7.907856792,1
7.917831917,0
7.917841792,1
7.927816667,0
7.927826542,1
7.937800750,0
7.937810583,1
7.947783583,0
7.947793417,1
7.957766792,0
7.957776667,1
7.967750750,0
7.967760625,1
7.977733708,0
7.977743583,1
7.987717583,0
7.987727458,1
7.997701042,0
7.997710917,1
8.573442542,0
8.573452500,1
8.583427417,0
8.583437292,1
8.593412000,0
8.593421875,1
8.603398042,0
8.603407917,1
8.613383750,0
8.613393625,1
8.623370167,0
8.623380000,1
8.633355875,0
8.633365750,1
8.643340542,0
8.643350417,1
8.653325000,0
8.653334875,1
8.663309042,0
8.663318917,1
8.673293000,0
8.673302875,1
8.683277250,0
